GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_386: Average age,v_CA21_452: Average household size,v_CA21_560: Median total income in 2020 among recipients ($),v_CA21_4311: Median value of dwellings ($) (60)
35061357,DA,35061357,0.1067,640,176,174,31.1,3.7,37600,700000
35061358,DA,35061358,0.3556,825,321,316,39.5,2.6,45600,348000
35061361,DA,35061361,0.3251,408,133,125,36.5,3.1,30800,300000
35061362,DA,35061362,0.1297,2006,594,579,28.5,3.5,30600,
35061363,DA,35061363,0.0537,242,77,74,36.2,3.3,,376000
35061364,DA,35061364,0.063,383,117,112,37.6,3.4,33200,320000
35061365,DA,35061365,0.0454,353,117,115,36.1,3.1,36800,300000
35061366,DA,35061366,0.2741,754,366,358,34.4,2.1,50000,380000
35061367,DA,35061367,1.9172,526,274,243,45.6,2.2,51200,600000
35061368,DA,35061368,1.3579,388,156,153,40.7,2.5,42800,400000
35061369,DA,35061369,1.0895,634,337,274,45.5,2.3,53200,600000
35061370,DA,35061370,0.8009,338,157,147,44.1,2.3,48400,400000
35061371,DA,35061371,19.7726,1276,567,508,45.3,2.5,60000,695000
35061372,DA,35061372,0.3944,377,183,171,44.9,2.2,48000,424000
35061373,DA,35061373,5.2192,478,188,180,44.2,2.7,54000,750000
35061374,DA,35061374,5.4069,605,235,227,44.8,2.7,70000,850000
35061375,DA,35061375,12.5514,585,192,187,40.2,3.1,60400,800000
35061376,DA,35061376,25.6187,540,213,204,45.1,2.7,66000,800000
35061377,DA,35061377,10.675,588,196,190,41.0,3.1,54800,800000
35061378,DA,35061378,18.8211,1042,325,323,39.7,3.2,66500,1000000
35061379,DA,35061379,5.9298,1013,340,336,41.0,3,73500,850000
35061380,DA,35061380,1.8245,1083,427,421,42.4,2.6,58000,680000
35061381,DA,35061381,15.7301,1116,382,364,43.0,2.9,56800,850000
35061382,DA,35061382,16.448,645,238,230,41.8,2.8,62400,900000
35061383,DA,35061383,10.2851,615,198,194,42.5,3.2,66000,1000000
35061384,DA,35061384,3.7948,442,157,151,45.7,2.9,52400,950000
35061385,DA,35061385,19.316,535,173,170,38.4,3.2,63200,800000
35061386,DA,35061386,47.0222,644,261,254,43.3,2.5,56800,800000
35061387,DA,35061387,0.6834,3449,1268,1227,34.2,2.8,35600,695000
35061388,DA,35061388,0.2215,2582,1039,954,32.9,2.7,36400,
35061389,DA,35061389,0.1872,1374,584,558,38.8,2.5,34400,280000
35061390,DA,35061390,0.1586,300,175,168,61.8,1.8,65000,600000
35061391,DA,35061391,16.9806,10,2,2,,,,
35061393,DA,35061393,0.0626,335,112,112,41.6,3,50400,600000
35061394,DA,35061394,0.0719,468,160,159,36.7,2.9,48800,552000
35061395,DA,35061395,0.0835,473,161,161,40.2,2.9,45600,552000
35061396,DA,35061396,0.0587,399,140,138,37.9,2.9,53200,500000
35061398,DA,35061398,0.1344,606,269,260,35.0,2.3,52000,500000
35061399,DA,35061399,0.0394,237,75,75,38.6,3.2,,600000
35061400,DA,35061400,0.0874,535,183,180,38.2,3,52800,600000
35061401,DA,35061401,0.1069,458,159,159,39.3,2.9,48400,524000
35061403,DA,35061403,0.1025,761,224,224,35.7,3.4,50800,600000
35061404,DA,35061404,0.1044,697,199,198,36.9,3.5,55600,700000
35061406,DA,35061406,0.0936,765,243,237,35.7,3.2,48800,600000
35061410,DA,35061410,0.144,656,198,197,37.3,3.3,45200,628000
35061411,DA,35061411,0.2376,1285,412,408,39.2,3.2,45600,600000
35061412,DA,35061412,0.1002,511,177,175,42.3,2.9,52000,700000
35061413,DA,35061413,0.0724,459,171,171,38.2,2.7,50000,500000
35061414,DA,35061414,0.1032,643,226,226,40.0,2.9,50400,600000
